ObjectID,GlobalID,CreationDate,Creator,EditDate,Editor,問題Question,Team Name (Hide),x,y
13,b7b5ecb0-094b-4c52-897e-9af4078639ca,2/12/2023 5:48:42 AM,hkggatut69,2/12/2023 5:48:42 AM,hkggatut69,correct,OPN 003,0,0
14,c0c03141-0515-444f-8d22-871ec06e911a,2/12/2023 5:49:39 AM,hkggatut54,2/12/2023 5:49:39 AM,hkggatut54,correct,OPN 018,0,0
15,faa095d6-7f24-4da4-8193-a1a86d73cc87,2/12/2023 5:49:40 AM,hkggatut55,2/12/2023 5:49:40 AM,hkggatut55,correct,OPN 019,0,0
16,90372768-d310-44ed-8579-1b6c913f756e,2/12/2023 5:50:39 AM,hkggatut41,2/12/2023 5:50:39 AM,hkggatut41,correct,OPN 005,0,0
17,f1ddfa19-59f7-40b3-8de2-df5feb62a683,2/12/2023 5:53:00 AM,hkggatut48,2/12/2023 5:53:00 AM,hkggatut48,correct,OPN 012,0,0
18,4603e159-e4a8-4180-867b-ee494d3e925f,2/12/2023 5:55:51 AM,hkggatut46,2/12/2023 5:55:51 AM,hkggatut46,correct,OPN 010,0,0
19,90e17e3d-4879-4c7b-8924-ccff1cdbe26b,2/12/2023 6:02:36 AM,hkggatut56,2/12/2023 6:02:36 AM,hkggatut56,correct,OPN 020,0,0
20,43fea8bf-0ab3-45d9-81e5-2a31aa9151e3,2/12/2023 6:17:02 AM,hkggatut52,2/12/2023 6:17:02 AM,hkggatut52,correct,OPN 016,0,0
21,0baec77b-f8de-476f-8290-5fc3ad685a8e,2/12/2023 6:27:02 AM,hkggatut50,2/12/2023 6:27:02 AM,hkggatut50,correct,OPN 014,0,0
22,659b294a-a984-45d1-87b3-24179f4bffe2,2/12/2023 6:30:38 AM,hkggatut140,2/12/2023 6:30:38 AM,hkggatut140,wrong2,TEST 001,0,0
23,3cbc9872-1b50-4c28-8e41-54b35e8a7277,2/12/2023 6:46:59 AM,hkggatut51,2/12/2023 6:46:59 AM,hkggatut51,correct,OPN 015,0,0
24,84b98087-ac10-4c8f-894f-e5c2260cfb88,2/12/2023 6:51:29 AM,hkggatut44,2/12/2023 6:51:29 AM,hkggatut44,correct,OPN 008,0,0
25,28b41ece-192f-4cc8-8b06-27595215830a,2/12/2023 6:54:12 AM,hkggatut38,2/12/2023 6:54:12 AM,hkggatut38,correct,OPN 002,0,0
26,e02ccced-f19c-4b71-8d47-41590f350487,2/12/2023 7:01:11 AM,hkggatut53,2/12/2023 7:01:11 AM,hkggatut53,correct,OPN 017,0,0
27,44573f97-120c-4728-8a2a-29ac48c8df9c,2/12/2023 7:16:56 AM,hkggatut123,2/12/2023 7:16:56 AM,hkggatut123,correct,YTH 018S,0,0
