ObjectID,GlobalID,CreationDate,Creator,EditDate,Editor,問題Question,Team Name (Hide),x,y
13,2ed76080-3f3e-4dc6-80e8-7af3422b4c9f,2/12/2023 6:05:07 AM,hkggatut120,2/12/2023 6:05:07 AM,hkggatut120,correct,YTH 015S,0,0
14,196f01c3-dcb4-4a1e-8550-fd618112c051,2/12/2023 6:37:57 AM,hkggatut119,2/12/2023 6:37:57 AM,hkggatut119,correct,YTH 014S,0,0
15,c56f93ea-c38d-4c03-8442-394524ee7a86,2/12/2023 6:48:17 AM,hkggatut124,2/12/2023 6:48:17 AM,hkggatut124,correct,YTH 019S,0,0
16,58de89ce-667c-47f6-8006-a1f3b5a372a9,2/12/2023 6:51:26 AM,hkggatut107,2/12/2023 6:51:26 AM,hkggatut107,correct,YTH 002,0,0
17,af92c125-8b10-4775-8473-5ca1d7adb051,2/12/2023 7:05:03 AM,hkggatut138,2/12/2023 7:05:03 AM,hkggatut138,correct,YTH 007S,0,0
18,e256d512-01a7-4c69-880f-81589a0b686e,2/12/2023 7:11:37 AM,hkggatut136,2/12/2023 7:11:37 AM,hkggatut136,wrong1,YTH 005,0,0
19,f2a57964-cfa0-4553-8cf7-0be383068100,2/12/2023 7:12:42 AM,hkggatut137,2/12/2023 7:12:42 AM,hkggatut137,correct,YTH 006,0,0
20,f6b0aca3-8278-4198-8199-4beaa2883942,2/12/2023 7:20:06 AM,hkggatut127,2/12/2023 7:20:06 AM,hkggatut127,wrong1,YTH 022,0,0
21,495225d4-fc7a-4ca1-82a5-f5f4067e891c,2/12/2023 7:26:28 AM,hkggatut114,2/12/2023 7:26:28 AM,hkggatut114,wrong1,YTH 009S,0,0
22,4f6d7bf3-49f9-4777-8656-44e13c4f0c07,2/12/2023 7:36:50 AM,hkggatut139,2/12/2023 7:36:50 AM,hkggatut139,correct,YTH 008S,0,0
23,b5509b56-adfe-4cee-8d36-29651ea03d13,2/12/2023 7:42:19 AM,hkggatut106,2/12/2023 7:42:19 AM,hkggatut106,correct,YTH 001,0,0
